bangladesh_test	Total	Male	Female
1970			
 0-4	83836.646474	42674.644355	41162.002119
 5-9	33132.037355	16947.186887	16184.850468
 10-14 	12697.450926	6459.160117	6238.290808
 15-19 	34373.156311	17541.098136	16832.058175
 20-24 	25455.323196	13026.503942	12428.819254
 25-29 	20694.797983	10661.439815	10033.358168
 30-34 	17310.725891	9050.483816	8260.242075
 35-39 	14452.942701	7616.637582	6836.305119
 40-44 	11941.753764	6260.158901	5681.594864
 45-49 	9928.058216	5236.913221	4691.144995
 50-54 	8135.370898	4342.111464	3793.259434
 55-59 	6591.952011	3564.578064	3027.373947
 60-64 	5137.468041	2860.235624	2277.232417
 65-69 	3822.269114	2106.016751	1716.252362
 70-74 	2504.336805	1352.720052	1151.616753
 75-79 	1429.970241	772.956501	657.013741
 80+ 	954.659444	515.166693	439.492751
Total	292398.919371	150988.011923	141410.907448
1971			
 0-4	82474.985945	41960.041499	40514.944446
 5-9	33504.145228	17150.441536	16353.703692
 10-14 	12935.474466	6581.737318	6353.737149
 15-19 	34914.944337	17821.737978	17093.206360
 20-24 	25888.423894	13251.451177	12636.972717
 25-29 	21067.343207	10856.521620	10210.821586
 30-34 	17630.145278	9220.895341	8409.249938
 35-39 	14723.425800	7762.105686	6961.320114
 40-44 	12160.431498	6376.981783	5783.449715
 45-49 	10105.155280	5332.018019	4773.137262
 50-54 	8273.578430	4416.421574	3857.156856
 55-59 	6691.856139	3619.856336	3071.999803
 60-64 	5194.150891	2892.265457	2301.885433
 65-69 	3835.934913	2113.966580	1721.968333
 70-74 	2480.345376	1340.123642	1140.221734
 75-79 	1384.393410	748.721904	635.671505
 80+ 	878.397796	474.617265	403.780531
Total	294143.131888	151919.904715	142223.227173
1972			
 0-4	83860.469902	42653.645597	41206.824305
 5-9	34638.683828	17764.957667	16873.726161
 10-14 	13334.697200	6796.329237	6538.367962
 15-19 	35154.020747	18001.162284	17152.858463
 20-24 	26354.754723	13507.756855	12846.997868
 25-29 	21620.631129	11125.140458	10495.490671
 30-34 	18187.837331	9492.053211	8695.784120
 35-39 	15231.362151	8032.563488	7198.798663
 40-44 	12588.146846	6611.246427	5976.900418
 45-49 	10448.766138	5506.311274	4942.454865
 50-54 	8568.435119	4563.799591	4004.635529
 55-59 	6930.046263	3736.890818	3193.155445
 60-64 	5378.371419	2983.540104	2394.831315
 65-69 	3963.538702	2194.060821	1769.477881
 70-74 	2563.958533	1390.689541	1173.268991
 75-79 	1410.987696	763.258651	647.729045
 80+ 	872.207010	472.406026	399.800984
Total	301106.914737	155595.812049	145511.102687
1973			
 0-4	84838.848201	43133.153444	41705.694757
 5-9	35697.230741	18336.959382	17360.271358
 10-14 	13739.498679	7017.935117	6721.563562
 15-19 	35299.619717	18130.576680	17169.043037
 20-24 	26663.312248	13703.344606	12959.967642
 25-29 	22039.679276	11332.493547	10707.185729
 30-34 	18734.485044	9752.363042	8982.122003
 35-39 	15719.629314	8287.561336	7432.067978
 40-44 	13017.214592	6851.918774	6165.295818
 45-49 	10777.016993	5672.572863	5104.444130
 50-54 	8861.170572	4709.500653	4151.669919
 55-59 	7159.487860	3852.352282	3307.135578
 60-64 	5565.302688	3069.344164	2495.958524
 65-69 	4083.424022	2270.509989	1812.914032
 70-74 	2653.000879	1445.399807	1207.601072
 75-79 	1437.618718	777.121170	660.497548
 80+ 	869.759712	472.437678	397.322034
Total	307156.299256	158815.544535	148340.754721
1974			
 0-4	85747.266678	43569.970604	42177.296074
 5-9	36749.164393	18894.829442	17854.334951
 10-14 	14165.639596	7252.567133	6913.072463
 15-19 	35800.129152	18420.638589	17379.490563
 20-24 	26907.648281	13881.359335	13026.288946
 25-29 	22329.572969	11480.623861	10848.949108
 30-34 	19240.295534	9984.466936	9255.828598
 35-39 	16187.275876	8525.267354	7662.008522
 40-44 	13434.610685	7089.686194	6344.924491
 45-49 	11085.815269	5831.063741	5254.751529
 50-54 	9141.383080	4849.373822	4292.009258
 55-59 	7378.641310	3964.318535	3414.322774
 60-64 	5750.081008	3150.995490	2599.085518
 65-69 	4202.502039	2344.931216	1857.570824
 70-74 	2751.065152	1505.968175	1245.096976
 75-79 	1477.068366	798.067843	679.000524
 80+ 	879.858739	479.125402	400.733336
Total	313228.018127	162023.253673	151204.764453
1975			
 0-4	87056.174770	44207.555449	42848.619322
 5-9	37682.550032	19374.545721	18308.004311
 10-14 	14625.009610	7503.976836	7121.032774
 15-19 	36946.027937	19017.593112	17928.434825
 20-24 	27190.474686	14088.225317	13102.249369
 25-29 	22530.540964	11590.809641	10939.731323
 30-34 	19653.177924	10160.464393	9492.713531
 35-39 	16634.833535	8743.987148	7890.846387
 40-44 	13824.862476	7312.563401	6512.299075
 45-49 	11370.177246	5982.860513	5387.316733
 50-54 	9393.487837	4976.994856	4416.492981
 55-59 	7584.820507	4069.697597	3515.122910
 60-64 	5922.998959	3228.831680	2694.167279
