Vietnam_test	Total	Male	Female
1970			
 0-4	45174.517624	22951.959215	22222.558409
 5-9	48614.448934	24710.222609	23904.226325
 10-14 	28059.879144	14241.779512	13818.099632
 15-19 	32647.422118	16533.414644	16114.007474
 20-24 	24935.349136	12275.162598	12660.186538
 25-29 	20330.131599	9968.590410	10361.541189
 30-34 	19079.071066	9315.714114	9763.356952
 35-39 	19374.658867	9435.861796	9938.797072
 40-44 	15994.209716	7728.852753	8265.356963
 45-49 	14215.828644	6799.614006	7416.214639
 50-54 	11731.961565	5631.485492	6100.476073
 55-59 	10613.857030	5038.609484	5575.247546
 60-64 	8537.843940	3969.219435	4568.624505
 65-69 	7347.448688	3242.341883	4105.106805
 70-74 	4729.644967	1884.548933	2845.096034
 75-79 	2802.875946	956.133806	1846.742139
 80+ 	2070.363419	521.126913	1549.236506
Total	316259.512402	155204.637602	161054.874800
1971			
 0-4	46468.037517	23612.792810	22855.244708
 5-9	49816.091762	25306.452672	24509.639090
 10-14 	29081.249996	14749.217491	14332.032505
 15-19 	35077.155459	17759.066190	17318.089269
 20-24 	27628.558269	13704.129748	13924.428521
 25-29 	20662.357859	10093.763134	10568.594725
 30-34 	19048.793957	9291.160528	9757.633429
 35-39 	19292.309199	9373.585677	9918.723522
 40-44 	16799.705819	8108.746799	8690.959020
 45-49 	14382.730221	6858.846155	7523.884066
 50-54 	12173.245808	5809.152345	6364.093463
 55-59 	10664.258235	5055.444583	5608.813652
 60-64 	8839.811252	4089.317052	4750.494201
 65-69 	7305.862512	3208.399691	4097.462822
 70-74 	5018.399084	2005.566851	3012.832233
 75-79 	2848.696370	968.200024	1880.496346
 80+ 	2110.047018	526.457348	1583.589670
Total	327217.310337	160520.299096	166697.011242
1972			
 0-4	47538.733696	24149.955756	23388.777940
 5-9	51131.814831	25966.128446	25165.686384
 10-14 	30061.104182	15233.433601	14827.670581
 15-19 	37454.766572	18956.196668	18498.569903
 20-24 	30364.637394	15142.524499	15222.112895
